Date;TeamA;TeamB;scoreHome;scoreGuest;
14.06.2018, 18:00;Россия;Саудовская Аравия;5;0;
15.06.2018, 15:00;Египет;Уругвай;0;1;
15.06.2018, 18:00;Марокко;Иран;0;1;
15.06.2018, 21:00;Португалия;Испания;3;3;
16.06.2018, 13:00;Франция;Австралия;2;1;
16.06.2018, 16:00;Аргентина;Исландия;1;1;
16.06.2018, 19:00;Перу;Дания;0;1;
16.06.2018, 22:00;Хорватия;Нигерия;2;0;
17.06.2018, 15:00;Коста-Рика;Сербия;0;1;
17.06.2018, 18:00;Германия;Мексика;0;1;
17.06.2018, 21:00;Бразилия;Швейцария;1;1;
18.06.2018, 15:00;Швеция;Южная Корея;1;0;
18.06.2018, 18:00;Бельгия;Панама;3;0;
18.06.2018, 21:00;Тунис;Англия;1;2;
19.06.2018, 15:00;Колумбия;Япония;1;2;
19.06.2018, 18:00;Польша;Сенегал;1;2;
19.06.2018, 21:00;Россия;Египет;3;1;
20.06.2018, 15:00;Португалия;Марокко;1;0;
20.06.2018, 18:00;Уругвай;Саудовская Аравия;1;0;
20.06.2018, 21:00;Иран;Испания;0;1;
21.06.2018, 15:00;Дания;Австралия;1;1;
21.06.2018, 18:00;Франция;Перу;1;0;
21.06.2018, 21:00;Аргентина;Хорватия;0;3;
22.06.2018, 15:00;Бразилия;Коста-Рика;2;0;
22.06.2018, 18:00;Нигерия;Исландия;2;0;
22.06.2018, 21:00;Сербия;Швейцария;1;2;
23.06.2018, 15:00;Бельгия;Тунис;5;2;
23.06.2018, 18:00;Южная Корея;Мексика;1;2;
23.06.2018, 21:00;Германия;Швеция;2;1;
24.06.2018, 15:00;Англия;Панама;6;1;
24.06.2018, 18:00;Япония;Сенегал;2;2;
24.06.2018, 21:00;Польша;Колумбия;0;3;
25.06.2018, 17:00;Саудовская Аравия;Египет;2;1;
25.06.2018, 17:00;Уругвай;Россия;3;0;
25.06.2018, 21:00;Иран;Португалия;1;1;
25.06.2018, 21:00;Испания;Марокко;2;2;
26.06.2018, 17:00;Дания;Франция;0;0;
26.06.2018, 17:00;Австралия;Перу;0;2;
26.06.2018, 21:00;Исландия;Хорватия;1;2;
26.06.2018, 21:00;Нигерия;Аргентина;1;2;
27.06.2018, 17:00;Южная Корея;Германия;2;0;
27.06.2018, 17:00;Мексика;Швеция;0;3;
27.06.2018, 21:00;Сербия;Бразилия;0;2;
27.06.2018, 21:00;Швейцария;Коста-Рика;2;2;
28.06.2018, 17:00;Сенегал;Колумбия;0;1;
28.06.2018, 17:00;Япония;Польша;0;1;
28.06.2018, 21:00;Англия;Бельгия;0;1;
28.06.2018, 21:00;Панама;Тунис;1;2;
30.06.2018, 17:00;Франция;Аргентина;0;0;
30.06.2018, 21:00;Уругвай;Португалия;0;0;
01.07.2018, 17:00;Испания;Россия;0;0;
01.07.2018, 21:00;Хорватия;Дания;0;0;